Jugador,Equipo,Pos,Precio
Elías Gómez,Vélez Sarsfield,DEF,1000000
Francisco Pizzini,Vélez Sarsfield,DEL,1000000
Braian Romero,Vélez Sarsfield,DEL,1000000
Claudio Aquino,Vélez Sarsfield,VOL,1000000
Tomás Marchiori,Vélez Sarsfield,ARQ,1000000
Agustín Bouzat,Vélez Sarsfield,VOL,1000000
Thiago Fernández,Vélez Sarsfield,DEL,1000000
Christian Ordoñez,Vélez Sarsfield,VOL,1000000
Joaquín García,Vélez Sarsfield,DEF,1000000
Valentín Gómez,Vélez Sarsfield,DEF,1000000
Emanuel Mammana,Vélez Sarsfield,DEF,1000000
Damián Fernández,Vélez Sarsfield,DEF,1000000
Patricio Pernicone,Vélez Sarsfield,DEF,1000000
Tomás Guidara,Vélez Sarsfield,DEF,1000000
Jalil Elías,Vélez Sarsfield,VOL,1000000
Matías Pellegrini,Vélez Sarsfield,DEL,1000000
Aaron Quirós,Vélez Sarsfield,DEF,1000000
Leonel Roldán,Vélez Sarsfield,VOL,1000000
Randall Rodríguez,Vélez Sarsfield,ARQ,1000000
Michael Santos,Vélez Sarsfield,DEL,1000000
Alejo Sarco,Vélez Sarsfield,DEL,1000000
Rodrigo Piñeiro,Vélez Sarsfield,DEL,1000000
Juan Ignacio Méndez,Vélez Sarsfield,VOL,1000000
Agustín Lagos,Vélez Sarsfield,DEF,1000000
Álvaro Montoro,Vélez Sarsfield,DEL,1000000
Lautaro Garzón,Vélez Sarsfield,ARQ,1000000
Maher Carrizo,Vélez Sarsfield,DEL,1000000
Santiago Cáseres,Vélez Sarsfield,VOL,1000000
Lenny Lobato,Vélez Sarsfield,DEL,1000000
Tomás Cavanagh,Vélez Sarsfield,DEF,1000000
Francisco Montoro,Vélez Sarsfield,DEL,1000000
Gianluca Benjamín,Vélez Sarsfield,DEL,1000000
Leonardo Jara,Vélez Sarsfield,DEF,1000000
Isaías Andrada,Vélez Sarsfield,DEF,1000000
Felipe Bussio,Vélez Sarsfield,VOL,1000000
Elías Cabrera,Vélez Sarsfield,DEL,1000000
Jano Gordon,Vélez Sarsfield,DEF,1000000
Maximiliano Porcel,Vélez Sarsfield,VOL,1000000
Thiago Silvero,Vélez Sarsfield,DEF,1000000
Thiago Vecino,Vélez Sarsfield,DEL,1000000
Walter Mazzantti,Huracán,DEL,1000000
Lucas Carrizo,Huracán,DEF,1000000
Rodrigo Echeverría,Huracán,VOL,1000000
Hernán Galíndez,Huracán,ARQ,1000000
William Alarcón,Huracán,VOL,1000000
Rodrigo Cabral,Huracán,DEL,1000000
Fabio Pereyra,Huracán,DEF,1000000
Hernán De La Fuente,Huracán,DEF,1000000
Guillermo Benítez,Huracán,DEF,1000000
Federico Fattori,Huracán,VOL,1000000
Fernando Tobio,Huracán,DEF,1000000
Héctor Fértoli,Huracán,VOL,1000000
César Ibáñez,Huracán,DEF,1000000
Lucas Souto,Huracán,DEF,1000000
Sebastián Ramírez,Huracán,DEL,1000000
Eric Ramírez,Huracán,DEL,1000000
Ignacio Pussetto,Huracán,DEL,1000000
Ramón Ábila,Huracán,DEL,1000000
Sebastián Meza,Huracán,ARQ,1000000
Agustín Toledo,Huracán,VOL,1000000
Alan Soñora,Huracán,VOL,1000000
Guillermo Burdisso,Huracán,DEF,1000000
Pablo Siles,Huracán,VOL,1000000
Franco Alfonso,Huracán,DEL,1000000
Leandro Garate,Huracán,DEL,1000000
Marcelo Pérez,Huracán,DEL,1000000
Franco Watson,Huracán,VOL,1000000
Andrés Roa,Huracán,DEL,1000000
Matías Gómez,Huracán,DEL,1000000
Ignacio Campo,Huracán,DEF,1000000
Nicolás Cordero,Huracán,DEL,1000000
Leandro Figueredo,Huracán,DEF,1000000
Guido Herrera,Talleres,ARQ,1000000
Gastón Benavídez,Talleres,DEF,1000000
Federico Girotti,Talleres,DEL,1000000
Miguel Navarro,Talleres,DEF,1000000
Juan Portillo,Talleres,DEF,1000000
Diego Ortegoza,Talleres,VOL,1000000
Rubén Botta,Talleres,VOL,1000000
Matías Galarza,Talleres,VOL,1000000
Juan Camilo Portilla,Talleres,VOL,1000000
Matías Catalán,Talleres,DEF,1000000
Marcos Portillo,Talleres,VOL,1000000
Lucas Suárez,Talleres,DEF,1000000
Bruno Barticciotto,Talleres,DEL,1000000
Alejandro Martínez,Talleres,DEL,1000000
Valentín Depietri,Talleres,DEL,1000000
Kevin Mantilla,Talleres,DEF,1000000
Blas Riveros,Talleres,DEF,1000000
Ramiro Ruiz,Talleres,DEL,1000000
Juan Rodríguez,Talleres,DEF,1000000
Franco Moyano,Talleres,VOL,1000000
Cristian Tarragona,Talleres,DEL,1000000
Alex Vigo,Talleres,DEF,1000000
Matías Esquivel,Talleres,VOL,1000000
Ramón Sosa,Talleres,DEL,1000000
Gustavo Bou,Talleres,DEL,1000000
Sebastián Palacios,Talleres,DEL,1000000
Lautaro Morales,Talleres,ARQ,1000000
Gustavo Albarracín,Talleres,VOL,1000000
Matías Galarza,Talleres,VOL,1000000
Luis Sequeira,Talleres,VOL,1000000
Nahuel Bustos,Talleres,DEL,1000000
Imanol Segovia,Talleres,DEF,1000000
