fecha,jugador,equipo,puntaje
1,Santiago Rodriguez,Instituto,8.896158340113747
1,Jonás Acevedo,Instituto,7.140806680904441
1,Juan Guasone,Sarmiento,7.12055428044541
1,Gonzalo Requena,Instituto,6.861672104293978
1,Gastón Lodico,Instituto,6.658074175181315
1,Damián Puebla,Instituto,6.526527396476511
1,Diego Calcaterra,Sarmiento,6.448589213463872
1,Franco Paredes,Sarmiento,6.44415506404945
1,Fernando Alarcón,Instituto,6.404949248861305
1,Juan Hernández,Sarmiento,6.387540044033875
1,Gregorio Rodríguez,Instituto,6.326362318421245
1,Giuliano Cerato,Instituto,6.314035994359635
1,Gabriel Gudiño,Sarmiento,6.310440937990903
1,Facundo Suárez,Instituto,6.300767949781657
1,Manuel Mónaco,Sarmiento,6.216051556872938
1,Ignacio Russo,Instituto,6.182817199744998
1,Manuel Roffo,Instituto,6.138308545989325
1,Joaquín Gho,Sarmiento,6.123232764652354
1,José Mauri,Sarmiento,6.0137959368488145
1,David Gallardo,Sarmiento,6.005247935342579
1,Lucas Rodríguez,Instituto,5.990830856040632
1,Gabriel Díaz,Sarmiento,5.893304769262289
1,Manuel García,Sarmiento,5.87465412091585
1,Víctor Cabrera,Instituto,5.851765293771922
1,Agustín Fontana,Sarmiento,5.848342949041049
1,Nicolás Dubersarsky,Instituto,5.843272206502091
1,Brian Cuello,Instituto,5.819496287344612
1,Fernando Godoy,Sarmiento,5.812782866982847
1,Iván Morales Bravo,Sarmiento,5.794968646256117
1,Yair Ezequiel Arismendi,Sarmiento,5.75044027687653
1,Jonathan Bay,Instituto,5.665973874071346
1,Jerónimo Pourtau,Sarmiento,5.41485594754487
1,Ignacio Pussetto,Huracán,8.37041289762325
1,Walter Mazzantti,Huracán,7.724015632415949
1,Héctor Fértoli,Huracán,7.258650864793327
1,Gabriel Alanís,Defensa y Just,7.250237629844875
1,Sebastián Ramírez,Huracán,6.903551768575443
1,Rodrigo Bogarín,Defensa y Just,6.86534485383477
1,Luciano Ramón Herrera,Defensa y Just,6.81911464720168
1,Fernando Tobio,Huracán,6.774289961400768
1,Rodrigo Cabral,Huracán,6.770074933905081
1,Esteban Burgos,Defensa y Just,6.761942067761195
1,Hernán Galíndez,Huracán,6.612924386828402
1,Lucas Souto,Huracán,6.5385838275467725
1,Nicolás Fernández,Defensa y Just,6.47970415104329
1,Lucas Carrizo,Huracán,6.404227922571086
1,Ezequiel Cannavo,Defensa y Just,6.3915671100796105
1,Guillermo Benítez,Huracán,6.268702548843209
1,Kevin Lopez,Defensa y Just,6.242516593446659
