id,jugador,equipo,puntaje,fecha
1,"Jonathan Herrera","Deportivo Riestra",8,18
2,"Nicolás Benegas","Deportivo Riestra",8,18
3,"Ignacio Arce","Deportivo Riestra",8,18
4,"Alexander Díaz","Deportivo Riestra",7,18
5,"Jonatan Goitía","Deportivo Riestra",7,18
6,"Nicolás Caro","Deportivo Riestra",7,18
7,"Pedro Ramírez","Deportivo Riestra",7,18
8,"Nicolás Sansotre","Deportivo Riestra",7,18
9,"Cristian Paz","Deportivo Riestra",7,18
10,"Mateo Coronel","Atlé Tucumán",7,18
11,"Jonathan Goya","Deportivo Riestra",7,18
12,"Antony Alonso","Deportivo Riestra",7,18
13,"Rodrigo Sayavedra","Deportivo Riestra",6,18
14,"Rodrigo Cavallera","Deportivo Riestra",6,18
15,"Brían Sánchez","Deportivo Riestra",6,18
16,"Nicolás Romero","Atlé Tucumán",6,18
17,"Gianluca Ferrari","Atlé Tucumán",6,18
18,"Juan Infante","Atlé Tucumán",6,18
19,"Renzo Tesuri","Atlé Tucumán",6,18
20,"Mario Sanabria","Deportivo Riestra",6,18
21,"Tomás Villoldo","Deportivo Riestra",6,18
22,"Mateo Bajamich","Atlé Tucumán",6,18
23,"Guillermo Acosta","Atlé Tucumán",6,18
24,"Adrián Guillermo Sánchez","Atlé Tucumán",6,18
25,"Néstor Breitenbruch","Atlé Tucumán",6,18
26,"Marcelo Estigarribia","Atlé Tucumán",6,18
27,"Franco Nicola","Atlé Tucumán",6,18
28,"Tomás Durso","Atlé Tucumán",6,18
29,"Francisco Bonfiglio","Atlé Tucumán",6,18
30,"Moisés Brandán","Atlé Tucumán",6,18
31,"Luis Miguel Rodríguez","Atlé Tucumán",6,18
32,"Justo Giani","Atlé Tucumán",6,18
33,"Franco Troyansky",Gimnasia–LP,7,18
34,"Nicolás Gaitán",Sarmiento,7,18
35,"Gustavo Canto",Gimnasia–LP,7,18
36,"Franco Paredes",Sarmiento,7,18
37,"Elías López",Sarmiento,7,18
38,"Rodrigo Gallo",Gimnasia–LP,7,18
39,"Juan Manuel Insaurralde",Sarmiento,7,18
40,"Lucas Acosta",Sarmiento,7,18
41,"Joaquín Gho",Sarmiento,7,18
42,"Yonathan Cabral",Gimnasia–LP,6,18
43,"Fabricio Corbalan",Gimnasia–LP,6,18
44,"David Zalazar",Gimnasia–LP,6,18
45,"Nicolás Garayalde",Gimnasia–LP,6,18
46,"Emiliano Méndez",Sarmiento,6,18
47,"Valentín Burgoa",Sarmiento,6,18
48,"Augusto Max",Gimnasia–LP,6,18
49,"Lucas Castro",Gimnasia–LP,6,18
50,"Gabriel Díaz",Sarmiento,6,18
51,"Juan Pintado",Gimnasia–LP,6,18
52,"Rodrigo Castillo",Gimnasia–LP,6,18
53,"Yair Ezequiel Arismendi",Sarmiento,6,18
54,"Manuel Mónaco",Sarmiento,6,18
55,"Manuel García",Sarmiento,6,18
56,"Ezequiel Naya",Sarmiento,6,18
57,"Gastón Sauro",Sarmiento,6,18
58,"Matías Abaldo",Gimnasia–LP,6,18
59,"Leandro Mamut",Gimnasia–LP,6,18
60,"Iván Morales Bravo",Sarmiento,6,18
61,"Nelson Insfrán",Gimnasia–LP,6,18
62,"Lisandro López",Sarmiento,6,18
63,"Pablo de Blasis",Gimnasia–LP,6,18
64,"Valentín Rodríguez",Gimnasia–LP,6,18
65,"Jose Florentín","Cen. Córdoba–SdE",8,18
66,"Fernando Benítez","Cen. Córdoba–SdE",8,18
67,"Lucas Varaldo","Cen. Córdoba–SdE",7,18
68,"Juan Meli","Cen. Córdoba–SdE",7,18
69,"Rodrigo Atencio","Cen. Córdoba–SdE",7,18
70,"Luis Ingolotti","Cen. Córdoba–SdE",7,18
71,"Lucas Abascia","Cen. Córdoba–SdE",7,18
