Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Javier Morales,FW,70,0,0,0,0,3,0,0.1,0.1,0,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,86,17,6,8,1,2,0,0,0.0,0.0,0,0,0,0,1,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,3,0,0,9,33,7,0,0,0,2,0,11,6,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.770629233799199,False,6.0,17
Lucas Gamba,FW,20,0,0,0,0,0,0,0.0,0.0,1,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,60,13,3,3,2,2,0,0,0.0,0.0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,61,37,0,1,0,1,0,7,4,0,0,0,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6698779058300754,False,6.0,17
Adrián Balboa,FW,90,0,0,0,0,3,0,0.1,0.1,0,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,54,0,3,4,1,3,0,0,0.0,0.0,1,0,0,0,0,9,8,1,0,0,0,1,0,0,2,2,0,1,1,2,0,2,0,0,0,0,1,8,15,4,2,0,11,29,4,0,1,0,3,2,16,5,0,0,0,3,0,1,0,0,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.855977412891067,False,6.0,17
Simón Rivero,AM,90,0,0,0,0,2,1,0.3,0.3,5,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,563,107,8,15,14,17,4,8,0.1,0.1,1,6,1,0,4,43,38,5,2,0,0,4,0,3,4,1,1,2,1,0,0,0,0,0,0,0,2,28,24,2,4,3,30,247,177,7,3,0,1,2,33,5,0,0,0,2,2,0,0,0,0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.402522289471093,False,6.0,17
Enzo Martín Roldán,CM,78,0,0,0,0,1,0,0.0,0.0,3,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,514,95,11,13,17,20,1,5,0.0,0.0,2,2,0,0,3,41,37,3,1,0,0,0,2,0,0,0,0,0,0,3,0,3,1,1,0,1,4,34,12,1,3,2,25,155,73,1,1,0,0,0,31,6,0,0,0,0,2,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2250324406381,False,6.0,17
Patricio Tanda,M,12,0,0,0,0,0,0,0.0,0.0,1,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,238,92,1,1,10,10,0,1,0.0,0.1,1,2,1,1,1,12,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,8,3,0,0,0,10,38,20,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.642615715767766,False,6.0,17
Mauro Pittón,CM,90,0,0,0,0,0,0,0.0,0.0,3,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,850,251,20,25,20,24,5,8,0.1,0.2,2,5,0,0,2,60,53,7,2,0,0,5,2,3,7,0,3,3,0,0,0,0,1,0,0,0,10,48,16,1,0,0,31,179,98,2,2,0,4,0,33,0,0,0,0,1,1,0,0,0,0,11,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096304234930055,False,6.0,17
Bruno Pittón,WB,58,0,0,0,0,1,0,0.1,0.1,1,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,237,126,7,11,6,8,1,2,0.3,0.1,1,5,2,0,9,23,22,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,16,16,3,1,0,17,83,24,1,0,1,2,0,23,6,1,0,0,1,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.724687470458946,False,4.0,17
Mateo Del Blanco,FB,32,0,0,0,0,0,0,0.0,0.0,3,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,720,228,6,6,21,23,4,6,0.0,0.0,0,5,1,1,8,37,29,8,3,0,1,2,4,1,1,0,1,1,0,0,0,0,0,0,0,0,11,20,9,0,2,1,22,104,54,1,0,0,1,0,28,4,0,0,0,0,2,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7606592760299735,False,6.0,17
Lautaro Vargas,WB,90,0,0,0,0,1,0,0.0,0.0,2,0,Unión - Cen. Córdoba–SdE,0–2,Unión,0,2,False,False,662,242,10,17,14,22,7,11,0.2,0.2,2,6,2,2,7,51,44,7,0,0,0,10,7,0,3,2,2,7,5,1,0,1,1,0,0,2,13,30,22,0,7,2,39,327,164,5,2,0,2,0,35,6,0,0,0,0,3,0,0,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.294437694014825,False,6.0,17
