player,team,match,rating
Aaron Cresswell,West Ham,Arsenal - West Ham,5.84
Aaron Cresswell,West Ham,Bournemouth - West Ham,6.215
Aaron Cresswell,West Ham,Brighton - West Ham,6.640000000000001
Aaron Cresswell,West Ham,Burnley - West Ham,6.12
Aaron Cresswell,West Ham,Chelsea - West Ham,5.98
Aaron Cresswell,West Ham,Crystal Palace - West Ham,7.154999999999999
Aaron Cresswell,West Ham,Everton - West Ham,5.645
Aaron Cresswell,West Ham,Huddersfield - West Ham,6.895
Aaron Cresswell,West Ham,Leicester - West Ham,6.9399999999999995
Aaron Cresswell,West Ham,Liverpool - West Ham,5.875
Aaron Cresswell,West Ham,Manchester City - West Ham,7.109999999999999
Aaron Cresswell,West Ham,Manchester United - West Ham,5.904999999999999
Aaron Cresswell,West Ham,Newcastle United - West Ham,5.42
Aaron Cresswell,West Ham,Southampton - West Ham,6.65
Aaron Cresswell,West Ham,Swansea - West Ham,5.93
Aaron Cresswell,West Ham,Watford - West Ham,5.45
Aaron Cresswell,West Ham,West Bromwich Albion - West Ham,6.38
Aaron Cresswell,West Ham,West Ham - Arsenal,6.99
Aaron Cresswell,West Ham,West Ham - Bournemouth,6.775
Aaron Cresswell,West Ham,West Ham - Burnley,5.455
Aaron Cresswell,West Ham,West Ham - Chelsea,7.115
Aaron Cresswell,West Ham,West Ham - Crystal Palace,6.165
Aaron Cresswell,West Ham,West Ham - Everton,6.91
Aaron Cresswell,West Ham,West Ham - Huddersfield,6.640000000000001
Aaron Cresswell,West Ham,West Ham - Leicester,6.335
Aaron Cresswell,West Ham,West Ham - Liverpool,5.09
Aaron Cresswell,West Ham,West Ham - Manchester City,5.855
Aaron Cresswell,West Ham,West Ham - Manchester United,7.01
Aaron Cresswell,West Ham,West Ham - Newcastle United,6.24
Aaron Cresswell,West Ham,West Ham - Southampton,7.1850000000000005
Aaron Cresswell,West Ham,West Ham - Stoke,7.3100000000000005
Aaron Cresswell,West Ham,West Ham - Swansea,6.6899999999999995
Aaron Cresswell,West Ham,West Ham - Tottenham,6.1899999999999995
Aaron Cresswell,West Ham,West Ham - Watford,7.140000000000001
Aaron Cresswell,West Ham,West Ham - West Bromwich Albion,6.615
Aaron Lennon,Burnley,Arsenal - Burnley,5.58
Aaron Lennon,Burnley,Burnley - Bournemouth,6.0
Aaron Lennon,Burnley,Burnley - Brighton,5.71
Aaron Lennon,Burnley,Burnley - Chelsea,6.095000000000001
Aaron Lennon,Burnley,Burnley - Everton,7.125
Aaron Lennon,Burnley,Burnley - Leicester,6.615
Aaron Lennon,Burnley,Burnley - Manchester City,7.05
Aaron Lennon,Burnley,Burnley - Southampton,6.609999999999999
Aaron Lennon,Burnley,Newcastle United - Burnley,6.3149999999999995
Aaron Lennon,Burnley,Stoke - Burnley,5.975
Aaron Lennon,Burnley,Swansea - Burnley,6.625
Aaron Lennon,Burnley,Watford - Burnley,6.215
Aaron Lennon,Burnley,West Bromwich Albion - Burnley,7.76
Aaron Lennon,Burnley,West Ham - Burnley,6.9
Aaron Lennon,Everton,Bournemouth - Everton,5.695
Aaron Lennon,Everton,Chelsea - Everton,6.09
Aaron Lennon,Everton,Everton - Chelsea,5.675
Aaron Lennon,Everton,Everton - Huddersfield,6.92
Aaron Lennon,Everton,Everton - Manchester United,5.945
Aaron Lennon,Everton,Everton - Swansea,7.125
Aaron Lennon,Everton,Everton - Watford,6.56
Aaron Lennon,Everton,Everton - West Ham,7.085
Aaron Lennon,Everton,Leicester - Everton,5.92
Aaron Lennon,Everton,Liverpool - Everton,6.035
Aaron Lennon,Everton,Newcastle United - Everton,6.16
Aaron Lennon,Everton,Southampton - Everton,6.04
Aaron Lennon,Everton,Tottenham - Everton,5.425
Aaron Lennon,Everton,West Bromwich Albion - Everton,5.48
Aaron Mooy,Huddersfield,Arsenal - Huddersfield,5.38
Aaron Mooy,Huddersfield,Bournemouth - Huddersfield,6.3
Aaron Mooy,Huddersfield,Brighton - Huddersfield,6.945
Aaron Mooy,Huddersfield,Burnley - Huddersfield,7.02
Aaron Mooy,Huddersfield,Chelsea - Huddersfield,7.725
Aaron Mooy,Huddersfield,Crystal Palace - Huddersfield,8.115
Aaron Mooy,Huddersfield,Everton - Huddersfield,6.885
Aaron Mooy,Huddersfield,Huddersfield - Arsenal,7.140000000000001
Aaron Mooy,Huddersfield,Huddersfield - Bournemouth,8.075
Aaron Mooy,Huddersfield,Huddersfield - Brighton,7.115
Aaron Mooy,Huddersfield,Huddersfield - Burnley,6.295
Aaron Mooy,Huddersfield,Huddersfield - Chelsea,5.675
Aaron Mooy,Huddersfield,Huddersfield - Crystal Palace,6.395
Aaron Mooy,Huddersfield,Huddersfield - Everton,5.98
Aaron Mooy,Huddersfield,Huddersfield - Leicester,7.74
Aaron Mooy,Huddersfield,Huddersfield - Liverpool,5.475
Aaron Mooy,Huddersfield,Huddersfield - Manchester City,6.29
Aaron Mooy,Huddersfield,Huddersfield - Manchester United,7.755
Aaron Mooy,Huddersfield,Huddersfield - Newcastle United,8.175
Aaron Mooy,Huddersfield,Huddersfield - Southampton,6.95
Aaron Mooy,Huddersfield,Huddersfield - Stoke,6.66
Aaron Mooy,Huddersfield,Huddersfield - Swansea,6.27
Aaron Mooy,Huddersfield,Huddersfield - Tottenham,5.67
Aaron Mooy,Huddersfield,Huddersfield - Watford,6.955
Aaron Mooy,Huddersfield,Huddersfield - West Bromwich Albion,7.535
Aaron Mooy,Huddersfield,Huddersfield - West Ham,6.445
Aaron Mooy,Huddersfield,Leicester - Huddersfield,6.3100000000000005
Aaron Mooy,Huddersfield,Liverpool - Huddersfield,6.16
Aaron Mooy,Huddersfield,Manchester City - Huddersfield,7.705
Aaron Mooy,Huddersfield,Manchester United - Huddersfield,5.615
Aaron Mooy,Huddersfield,Newcastle United - Huddersfield,6.45
Aaron Mooy,Huddersfield,Southampton - Huddersfield,6.205
Aaron Mooy,Huddersfield,Stoke - Huddersfield,5.505
Aaron Mooy,Huddersfield,Swansea - Huddersfield,6.13
Aaron Mooy,Huddersfield,Watford - Huddersfield,8.135
Aaron Mooy,Huddersfield,West Ham - Huddersfield,6.835
Aaron Ramsey,Arsenal,Arsenal - Bournemouth,7.24
Aaron Ramsey,Arsenal,Arsenal - Brighton,7.085
Aaron Ramsey,Arsenal,Arsenal - Burnley,6.35
Aaron Ramsey,Arsenal,Arsenal - Everton,9.35
Aaron Ramsey,Arsenal,Arsenal - Huddersfield,7.21
Aaron Ramsey,Arsenal,Arsenal - Leicester,7.654999999999999
Aaron Ramsey,Arsenal,Arsenal - Manchester City,6.055
Aaron Ramsey,Arsenal,Arsenal - Manchester United,6.59
Aaron Ramsey,Arsenal,Arsenal - Stoke,7.6850000000000005
Aaron Ramsey,Arsenal,Arsenal - Swansea,7.29
Aaron Ramsey,Arsenal,Arsenal - Tottenham,6.95
Aaron Ramsey,Arsenal,Arsenal - West Bromwich Albion,7.57
Aaron Ramsey,Arsenal,Arsenal - West Ham,7.96
Aaron Ramsey,Arsenal,Bournemouth - Arsenal,5.415
Aaron Ramsey,Arsenal,Burnley - Arsenal,7.1
Aaron Ramsey,Arsenal,Chelsea - Arsenal,7.92
Aaron Ramsey,Arsenal,Everton - Arsenal,7.775
Aaron Ramsey,Arsenal,Huddersfield - Arsenal,6.8100000000000005
Aaron Ramsey,Arsenal,Leicester - Arsenal,6.74
Aaron Ramsey,Arsenal,Liverpool - Arsenal,4.635
Aaron Ramsey,Arsenal,Manchester City - Arsenal,5.95
Aaron Ramsey,Arsenal,Southampton - Arsenal,6.404999999999999
Aaron Ramsey,Arsenal,Stoke - Arsenal,7.109999999999999
Aaron Ramsey,Arsenal,Swansea - Arsenal,5.404999999999999
Aaron Wan-Bissaka,Crystal Palace,Bournemouth - Crystal Palace,6.475
Aaron Wan-Bissaka,Crystal Palace,Chelsea - Crystal Palace,6.970000000000001
Aaron Wan-Bissaka,Crystal Palace,Crystal Palace - Liverpool,6.404999999999999
Aaron Wan-Bissaka,Crystal Palace,Crystal Palace - Manchester United,7.49
Aaron Wan-Bissaka,Crystal Palace,Crystal Palace - Tottenham,7.11
Aaron Wan-Bissaka,Crystal Palace,Crystal Palace - West Bromwich Albion,7.7
Aaron Wan-Bissaka,Crystal Palace,Huddersfield - Crystal Palace,7.72
Abdelhamid Sabiri,Huddersfield,Bournemouth - Huddersfield,5.665
Abdelhamid Sabiri,Huddersfield,Burnley - Huddersfield,5.715
Abdelhamid Sabiri,Huddersfield,Huddersfield - Leicester,5.79
Abdelhamid Sabiri,Huddersfield,Stoke - Huddersfield,6.035
Abdelhamid Sabiri,Huddersfield,West Ham - Huddersfield,4.535
Abdoulaye Doucoure,Watford,Arsenal - Watford,6.529999999999999
Abdoulaye Doucoure,Watford,Bournemouth - Watford,7.035
Abdoulaye Doucoure,Watford,Burnley - Watford,5.825
Abdoulaye Doucoure,Watford,Chelsea - Watford,7.255
Abdoulaye Doucoure,Watford,Crystal Palace - Watford,6.73
Abdoulaye Doucoure,Watford,Everton - Watford,6.875
Abdoulaye Doucoure,Watford,Huddersfield - Watford,6.545
Abdoulaye Doucoure,Watford,Leicester - Watford,6.3100000000000005
Abdoulaye Doucoure,Watford,Liverpool - Watford,5.0600000000000005
Abdoulaye Doucoure,Watford,Manchester City - Watford,6.29
Abdoulaye Doucoure,Watford,Manchester United - Watford,6.345000000000001
Abdoulaye Doucoure,Watford,Newcastle United - Watford,7.09
Abdoulaye Doucoure,Watford,Southampton - Watford,7.4350000000000005
Abdoulaye Doucoure,Watford,Stoke - Watford,6.375
Abdoulaye Doucoure,Watford,Swansea - Watford,6.24
Abdoulaye Doucoure,Watford,Tottenham - Watford,6.359999999999999
Abdoulaye Doucoure,Watford,Watford - Arsenal,7.49
Abdoulaye Doucoure,Watford,Watford - Bournemouth,5.965
Abdoulaye Doucoure,Watford,Watford - Brighton,6.495
Abdoulaye Doucoure,Watford,Watford - Burnley,5.925
Abdoulaye Doucoure,Watford,Watford - Chelsea,8.17
Abdoulaye Doucoure,Watford,Watford - Crystal Palace,6.575
Abdoulaye Doucoure,Watford,Watford - Everton,6.77
Abdoulaye Doucoure,Watford,Watford - Huddersfield,7.395
Abdoulaye Doucoure,Watford,Watford - Leicester,6.835
Abdoulaye Doucoure,Watford,Watford - Liverpool,7.48
Abdoulaye Doucoure,Watford,Watford - Manchester City,4.205
Abdoulaye Doucoure,Watford,Watford - Manchester United,7.01
Abdoulaye Doucoure,Watford,Watford - Newcastle United,7.140000000000001
Abdoulaye Doucoure,Watford,Watford - Southampton,6.625
Abdoulaye Doucoure,Watford,Watford - Stoke,6.404999999999999
Abdoulaye Doucoure,Watford,Watford - Swansea,6.970000000000001
Abdoulaye Doucoure,Watford,Watford - Tottenham,7.595000000000001
Abdoulaye Doucoure,Watford,Watford - West Bromwich Albion,6.615
Abdoulaye Doucoure,Watford,Watford - West Ham,6.525
Abdoulaye Doucoure,Watford,West Bromwich Albion - Watford,7.64
Abdoulaye Doucoure,Watford,West Ham - Watford,5.91
Adam Lallana,Liverpool,Bournemouth - Liverpool,6.595000000000001
Adam Lallana,Liverpool,Burnley - Liverpool,7.07
Adam Lallana,Liverpool,Liverpool - Brighton,5.765000000000001
Adam Lallana,Liverpool,Liverpool - Chelsea,5.98
Adam Lallana,Liverpool,Liverpool - Manchester City,5.98
Adam Lallana,Liverpool,Liverpool - Newcastle United,6.029999999999999
Adam Lallana,Liverpool,Liverpool - Swansea,6.29
Adam Lallana,Liverpool,Liverpool - West Ham,5.99
Adam Lallana,Liverpool,Manchester United - Liverpool,5.55
Adam Lallana,Liverpool,Southampton - Liverpool,5.46
Adam Lallana,Liverpool,Swansea - Liverpool,5.615
Adam Smith,Bournemouth,Arsenal - Bournemouth,5.635
Adam Smith,Bournemouth,Bournemouth - Arsenal,8.15
Adam Smith,Bournemouth,Bournemouth - Brighton,6.48
Adam Smith,Bournemouth,Bournemouth - Chelsea,5.225
Adam Smith,Bournemouth,Bournemouth - Everton,7.154999999999999
Adam Smith,Bournemouth,Bournemouth - Huddersfield,6.4
Adam Smith,Bournemouth,Bournemouth - Leicester,7.37
Adam Smith,Bournemouth,Bournemouth - Liverpool,5.37
Adam Smith,Bournemouth,Bournemouth - Manchester City,6.465
Adam Smith,Bournemouth,Bournemouth - Newcastle United,7.41
Adam Smith,Bournemouth,Bournemouth - Southampton,6.9
Adam Smith,Bournemouth,Bournemouth - Tottenham,6.67
Adam Smith,Bournemouth,Bournemouth - Watford,6.34
Adam Smith,Bournemouth,Bournemouth - West Bromwich Albion,6.495
Adam Smith,Bournemouth,Bournemouth - West Ham,6.49
