player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,team,team_goals,conceded_goals,win,tie,match,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,rating
Alexandre Lacazette,9.0,fr FRA,FW,26-075,90,1,0,0,0,3,2,0.3,0.3,6,2,Arsenal,4,3,True,False,Arsenal - Leicester,263,42,14,16,5,6,0,0,0.4,0.2,3,0,2,1,3,24,19,4,0,0,0,2,0,0,2,1,1,3,2,1,0,1,0,1,0,1,2,9,23,6,1,1,19,50,27,1,0,1,2,2,25,10,0,0,0,2,2,2,0,0,0,2,1,2,,,,,,,,,,,,,,,,8.235
Danny Welbeck,23.0,eng ENG,AM,26-258,74,1,0,0,0,3,1,1.0,1.0,4,0,Arsenal,4,3,True,False,Arsenal - Leicester,190,33,13,16,2,2,0,0,0.4,0.2,2,0,2,0,2,21,21,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,6,7,18,5,2,2,18,130,47,3,1,2,1,4,22,6,0,0,0,1,1,1,0,0,0,2,1,1,,,,,,,,,,,,,,,,7.85
Theo Walcott,14.0,eng ENG,RW,28-148,16,0,0,0,0,0,0,0.0,0.0,1,0,Arsenal,4,3,True,False,Arsenal - Leicester,11,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,12,11,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.28
Mesut Özil,11.0,de GER,AM,28-300,90,0,0,0,0,3,0,0.1,0.1,10,0,Arsenal,4,3,True,False,Arsenal - Leicester,981,163,45,48,18,21,3,6,0.6,0.2,6,4,2,0,6,86,81,3,2,0,1,3,0,1,1,0,0,1,1,1,0,1,0,1,0,1,9,34,53,3,2,2,69,390,132,3,7,0,3,3,83,17,0,0,0,0,2,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,
Granit Xhaka,29.0,ch SUI,CM,24-318,90,0,2,0,0,4,1,0.1,0.1,12,2,Arsenal,4,3,True,False,Arsenal - Leicester,1845,598,35,39,34,41,17,26,0.2,0.2,5,20,5,1,20,106,94,12,3,1,3,6,1,8,1,0,0,1,1,1,0,1,1,1,1,1,13,67,34,0,1,1,80,331,200,4,4,0,1,0,89,2,0,0,0,1,0,0,0,0,0,8,0,2,,,,,,,,,,,,,,,,6.74
Mohamed Elneny,35.0,eg EGY,CM,25-031,66,0,1,0,0,1,0,0.0,0.0,3,1,Arsenal,4,3,True,False,Arsenal - Leicester,949,232,36,41,24,26,2,2,0.1,0.2,2,6,1,0,4,72,71,1,1,0,0,0,0,0,4,2,3,3,0,2,0,2,0,1,0,3,15,48,19,0,0,0,57,225,97,0,1,0,1,2,64,2,0,0,0,0,0,0,0,0,0,3,0,1,,,,,,,,,,,,,,,,6.445
Aaron Ramsey,8.0,wls WAL,DM,26-228,24,1,0,0,0,4,1,0.4,0.4,1,0,Arsenal,4,3,True,False,Arsenal - Leicester,131,37,3,6,5,5,0,0,0.0,0.1,1,0,1,0,1,12,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,3,0,0,13,63,24,0,0,0,1,0,14,2,0,0,0,0,2,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,7.654999999999999
Alex Oxlade-Chamberlain,15.0,eng ENG,WB,23-361,90,0,0,0,0,6,2,0.2,0.2,4,0,Arsenal,4,3,True,False,Arsenal - Leicester,985,289,23,27,14,18,11,16,0.1,0.0,2,7,2,1,6,67,58,8,0,0,3,7,8,0,3,3,2,2,0,1,0,1,3,5,0,1,21,34,34,2,9,8,54,575,348,9,8,2,1,1,51,7,0,0,0,1,1,0,0,0,0,10,3,2,,,,,,,,,,,,,,,,8.115
Héctor Bellerín,24.0,es ESP,WB,22-145,90,0,0,0,0,1,1,0.3,0.3,6,1,Arsenal,4,3,True,False,Arsenal - Leicester,922,231,37,41,22,24,2,4,0.0,0.0,2,3,0,0,3,70,60,10,0,0,0,0,10,0,3,2,0,0,0,0,0,0,0,1,0,2,19,26,35,5,3,1,51,218,97,1,2,1,1,2,53,11,0,0,0,1,0,0,0,0,0,7,3,4,,,,,,,,,,,,,,,,
Sead Kolašinac,31.0,ba BIH,CB,24-052,90,0,1,0,0,1,1,0.0,0.0,3,2,Arsenal,4,3,True,False,Arsenal - Leicester,860,423,33,37,18,23,5,6,0.6,0.4,1,8,0,0,9,73,69,3,3,0,0,2,0,0,4,4,3,3,0,0,0,0,1,3,0,3,16,52,15,4,1,1,49,414,334,7,5,1,0,0,49,1,0,0,0,1,1,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,
Nacho Monreal,18.0,es ESP,CB,31-166,90,0,0,0,0,0,0,0.0,0.0,0,0,Arsenal,4,3,True,False,Arsenal - Leicester,1114,500,14,14,33,35,6,7,0.0,0.0,0,2,0,0,3,57,56,1,1,0,0,0,0,0,2,2,1,1,0,0,0,0,5,8,0,9,37,32,1,0,0,0,43,243,98,1,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,7,3,3,,,,,,,,,,,,,,,,6.15
Rob Holding,16.0,eng ENG,CB,21-325,66,0,0,0,0,0,0,0.0,0.0,0,0,Arsenal,4,3,True,False,Arsenal - Leicester,958,295,16,19,26,28,6,10,0.0,0.0,0,5,0,0,4,60,57,3,2,0,1,0,1,0,1,1,0,0,0,0,0,0,1,11,0,7,37,34,4,0,0,0,50,299,227,1,3,0,0,0,46,0,0,0,0,2,2,0,0,0,0,7,2,1,,,,,,,,,,,,,,,,5.765000000000001
Olivier Giroud,12.0,fr FRA,FW,30-315,24,1,0,0,0,1,1,0.1,0.1,1,0,Arsenal,4,3,True,False,Arsenal - Leicester,60,0,5,5,1,1,0,0,0.2,0.1,1,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,5,15,13,1,0,0,0,0,10,3,0,0,0,0,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,7.765000000000001
Petr Čech,33.0,cz CZE,GK,35-083,90,0,0,0,0,0,0,0.0,0.0,1,0,Arsenal,4,3,True,False,Arsenal - Leicester,513,373,1,1,12,12,6,10,0.0,0.0,0,0,0,0,1,23,14,9,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,21,24,1,0,0,0,0,9,50,31,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,2.1,1.0,4.0,17.0,3.0,30.8,6.0,28.3,13.0,1.0,3.0,17.0,
Jamie Vardy,9.0,eng ENG,FW,30-212,90,2,0,0,0,2,2,0.9,0.9,0,0,Leicester,3,4,False,False,Arsenal - Leicester,115,23,6,6,2,3,0,0,0.0,0.0,0,1,0,0,1,12,11,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,14,3,1,0,11,114,21,1,1,1,3,0,16,4,0,0,0,0,1,1,0,0,0,4,2,4,,,,,,,,,,,,,,,,8.115
Shinji Okazaki,20.0,jp JPN,FW,31-117,71,1,0,0,0,2,1,0.5,0.5,0,0,Leicester,3,4,False,False,Arsenal - Leicester,140,22,6,13,1,2,2,4,0.0,0.0,0,1,0,0,1,22,19,3,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,14,12,2,1,0,13,63,22,0,0,0,2,2,22,0,0,0,0,3,1,0,0,0,0,4,6,1,,,,,,,,,,,,,,,,7.175
Daniel Amartey,18.0,gh GHA,CM,22-233,19,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,3,4,False,False,Arsenal - Leicester,63,21,3,3,1,2,0,1,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,1,0,1,5,3,2,0,0,0,2,2,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,6.0
Marc Albrighton,11.0,eng ENG,LM,27-266,87,0,1,0,0,0,0,0.0,0.0,2,2,Leicester,3,4,False,False,Arsenal - Leicester,301,133,8,8,3,4,4,8,0.7,0.5,1,4,2,2,3,25,22,2,1,0,0,6,0,1,1,0,0,2,2,2,1,1,0,2,0,5,10,11,17,1,1,0,17,96,44,1,1,0,2,2,20,2,0,0,0,0,2,0,0,0,0,5,0,1,,,,,,,,,,,,,,,,6.9
Demarai Gray,7.0,jm JAM,LM,21-044,3,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,3,4,False,False,Arsenal - Leicester,25,0,0,0,1,3,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5.995
Wilfred Ndidi,25.0,ng NGA,CM,20-238,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,3,4,False,False,Arsenal - Leicester,214,73,5,8,5,8,1,2,0.0,0.0,0,0,0,0,2,22,21,0,0,0,1,0,0,0,3,2,0,2,2,2,1,1,2,4,0,3,17,12,6,0,1,0,9,18,2,0,0,0,0,2,16,1,0,0,0,0,0,0,0,0,0,6,1,1,,,,,,,,,,,,,,,,6.779999999999999
Matty James,22.0,eng ENG,CM,26-020,81,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,3,4,False,False,Arsenal - Leicester,150,45,7,7,3,4,1,2,0.0,0.0,0,2,0,0,2,16,16,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1,2,2,0,3,11,11,3,0,0,0,7,26,2,0,0,0,0,1,7,1,0,0,0,3,0,0,0,0,0,4,1,0,,,,,,,,,,,,,,,,6.42
Kelechi Iheanacho,8.0,ng NGA,FW,20-312,9,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,3,4,False,False,Arsenal - Leicester,20,0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5.9
Riyad Mahrez,26.0,dz ALG,RM,26-171,90,0,1,0,0,2,0,0.1,0.1,2,2,Leicester,3,4,False,False,Arsenal - Leicester,379,145,11,12,3,5,4,8,0.2,0.3,1,2,0,0,0,34,30,4,1,1,2,4,0,3,2,1,0,4,4,3,0,3,2,1,0,1,11,23,19,2,6,2,28,147,44,1,0,0,2,4,32,3,0,0,0,0,3,2,0,0,0,6,2,2,,,,,,,,,,,,,,,,7.18
Christian Fuchs,28.0,at AUT,LB,31-126,90,0,0,0,0,0,0,0.0,0.0,1,0,Leicester,3,4,False,False,Arsenal - Leicester,435,210,15,18,7,15,4,16,0.1,0.2,1,3,2,1,2,49,33,16,0,0,2,4,16,0,1,0,1,3,2,3,1,2,1,4,0,5,16,20,23,0,1,0,22,134,82,2,4,0,0,1,25,2,0,0,0,0,0,0,0,0,0,4,2,3,,,,,,,,,,,,,,,,5.585
Harry Maguire,15.0,eng ENG,CB,24-159,90,0,1,0,0,0,0,0.0,0.0,1,1,Leicester,3,4,False,False,Arsenal - Leicester,299,146,9,12,7,9,1,4,0.4,0.2,1,1,0,0,1,26,26,0,0,0,1,1,0,0,2,1,1,2,1,3,3,0,2,4,0,7,16,13,8,3,2,1,15,126,68,2,1,1,0,0,15,3,0,0,0,1,0,0,0,0,0,4,2,1,,,,,,,,,,,,,,,,7.095000000000001
Wes Morgan,5.0,jm JAM,CB,33-202,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,3,4,False,False,Arsenal - Leicester,201,68,7,9,4,6,1,1,0.0,0.0,0,2,0,0,3,16,16,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,6,0,6,15,10,1,0,1,1,3,40,6,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,2,1,2,,,,,,,,,,,,,,,,5.484999999999999
Danny Simpson,2.0,eng ENG,RB,30-219,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,3,4,False,False,Arsenal - Leicester,495,231,13,14,13,18,2,8,0.0,0.0,0,2,0,0,1,44,28,16,1,0,0,1,15,0,0,0,0,3,3,2,1,1,1,4,0,6,28,13,13,0,2,1,13,55,25,1,0,0,1,0,16,0,0,0,0,0,2,0,0,0,0,7,0,2,,,,,,,,,,,,,,,,6.535
Kasper Schmeichel,1.0,dk DEN,GK,30-279,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,3,4,False,False,Arsenal - Leicester,983,889,0,0,0,0,17,36,0.0,0.0,0,1,0,0,0,37,14,22,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,38,3,0,0,0,0,9,120,104,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,6.0,3.3,17.0,36.0,25.0,0.0,56.8,11.0,67.8,13.0,0.0,2.0,44.5,6.359999999999999
Stefano Okaka,33.0,it ITA,FW,28-003,62,1,0,0,0,1,1,0.4,0.4,1,0,Watford,3,3,False,True,Watford - Liverpool,121,50,8,10,2,3,0,0,0.2,0.1,1,3,0,0,2,16,15,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,15,7,1,3,3,15,82,29,2,0,0,4,4,20,1,0,0,0,3,1,1,0,0,0,1,3,10,,,,,,,,,,,,,,,,7.220000000000001
Andre Gray,18.0,jm JAM,FW,26-047,28,0,0,0,0,0,0,0.0,0.0,1,0,Watford,3,3,False,True,Watford - Liverpool,48,8,3,3,1,1,0,0,0.0,0.0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,4,4,0,0,0,4,19,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,6.13
Roberto Pereyra,37.0,ar ARG,LW,26-217,48,0,0,0,0,1,0,0.2,0.2,2,1,Watford,3,3,False,True,Watford - Liverpool,127,11,0,0,1,1,2,2,0.0,0.0,0,0,0,0,1,3,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,2,1,1,1,7,59,17,1,0,1,1,0,6,1,0,0,0,0,2,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,6.234999999999999
Richarlison,11.0,br BRA,LW,20-094,42,0,0,0,0,2,0,0.2,0.2,1,1,Watford,3,3,False,True,Watford - Liverpool,48,11,3,4,1,2,0,1,0.0,0.0,0,1,0,0,0,7,7,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,7,5,2,0,0,9,68,14,0,0,0,2,2,10,3,0,0,0,0,2,1,0,0,0,3,1,2,,,,,,,,,,,,,,,,6.005
Nordin Amrabat,7.0,ma MAR,RW,30-134,90,0,0,0,0,0,0,0.0,0.0,1,0,Watford,3,3,False,True,Watford - Liverpool,191,39,14,17,0,7,2,4,0.1,0.1,1,1,1,1,0,37,35,1,0,0,0,4,1,0,3,1,1,1,0,0,0,0,0,1,0,0,8,16,22,0,2,1,26,103,14,0,2,0,1,4,34,7,0,0,0,6,1,1,0,0,0,3,2,4,,,,,,,,,,,,,,,,6.34
Nathaniel Chalobah,14.0,eng ENG,LM,22-243,90,0,0,0,0,1,0,0.0,0.0,0,0,Watford,3,3,False,True,Watford - Liverpool,301,69,5,7,9,10,1,4,0.0,0.0,0,0,0,0,4,26,25,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,3,22,6,0,0,0,13,55,28,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,6,2,0,,,,,,,,,,,,,,,,6.220000000000001
