Jugador,Equipo,Pos,Precio,Estado
Elías Gómez,Vélez Sarsfield,DEF,2300000,Habilitado
Francisco Pizzini,Vélez Sarsfield,DEL,3600000,Habilitado
Braian Romero,Vélez Sarsfield,DEL,4000000,Habilitado
Claudio Aquino,Vélez Sarsfield,VOL,5000000,Habilitado
Tomás Marchiori,Vélez Sarsfield,ARQ,3100000,Habilitado
Agustín Bouzat,Vélez Sarsfield,VOL,1500000,Habilitado
Thiago Fernández,Vélez Sarsfield,DEL,1000000,Habilitado
Christian Ordoñez,Vélez Sarsfield,VOL,1000000,Habilitado
Joaquín García,Vélez Sarsfield,DEF,1700000,Habilitado
Valentín Gómez,Vélez Sarsfield,DEF,2000000,Habilitado
Emanuel Mammana,Vélez Sarsfield,DEF,3000000,Habilitado
Damián Fernández,Vélez Sarsfield,DEF,1300000,Habilitado
Patricio Pernicone,Vélez Sarsfield,DEF,400000,Habilitado
Tomás Guidara,Vélez Sarsfield,DEF,2500000,Habilitado
Jalil Elías,Vélez Sarsfield,VOL,2800000,Habilitado
Matías Pellegrini,Vélez Sarsfield,DEL,2000000,Habilitado
Aaron Quirós,Vélez Sarsfield,DEF,3000000,Habilitado
Leonel Roldán,Vélez Sarsfield,VOL,300000,Habilitado
Randall Rodríguez,Vélez Sarsfield,ARQ,1000000,Habilitado
Michael Santos,Vélez Sarsfield,DEL,4000000,Habilitado
Alejo Sarco,Vélez Sarsfield,DEL,800000,Habilitado
Rodrigo Piñeiro,Vélez Sarsfield,DEL,1500000,Habilitado
Juan Ignacio Méndez,Vélez Sarsfield,VOL,1000000,Habilitado
Agustín Lagos,Vélez Sarsfield,DEF,300000,Habilitado
Álvaro Montoro,Vélez Sarsfield,DEL,900000,Habilitado
Lautaro Garzón,Vélez Sarsfield,ARQ,600000,Habilitado
Maher Carrizo,Vélez Sarsfield,DEL,500000,Habilitado
Santiago Cáseres,Vélez Sarsfield,VOL,1700000,Habilitado
Lenny Lobato,Vélez Sarsfield,DEL,800000,Habilitado
Tomás Cavanagh,Vélez Sarsfield,DEF,600000,Habilitado
Francisco Montoro,Vélez Sarsfield,DEL,500000,Habilitado
Gianluca Benjamín,Vélez Sarsfield,DEL,300000,Habilitado
Leonardo Jara,Vélez Sarsfield,DEF,1000000,Habilitado
Isaías Andrada,Vélez Sarsfield,DEF,300000,Habilitado
Felipe Bussio,Vélez Sarsfield,VOL,300000,Habilitado
Elías Cabrera,Vélez Sarsfield,DEL,300000,Habilitado
Jano Gordon,Vélez Sarsfield,DEF,300000,Habilitado
Maximiliano Porcel,Vélez Sarsfield,VOL,300000,Habilitado
Thiago Silvero,Vélez Sarsfield,DEF,300000,Habilitado
Thiago Vecino,Vélez Sarsfield,DEL,1000000,Habilitado
Walter Mazzantti,Huracán,DEL,3000000,Habilitado
Lucas Carrizo,Huracán,DEF,1900000,Habilitado
Rodrigo Echeverría,Huracán,VOL,3300000,Habilitado
Hernán Galíndez,Huracán,ARQ,3000000,Habilitado
William Alarcón,Huracán,VOL,2000000,Habilitado
Rodrigo Cabral,Huracán,DEL,2000000,Habilitado
