Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Javier Ruiz,FW,90,0,0,0,0,1,0,0.0,0.0,2,0,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,121,41,7,10,2,6,0,3,0.0,0.0,1,2,0,0,2,24,24,0,0,0,0,3,0,0,2,1,1,2,1,1,0,1,1,2,0,0,9,14,18,0,2,0,22,146,45,1,3,1,2,10,30,9,0,0,0,3,4,0,0,0,0,8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11435825245629,False,6.0,19
Maximiliano Zalazar,AM,90,0,0,0,0,2,1,0.1,0.1,1,0,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,262,94,6,10,5,6,2,3,0.0,0.0,0,1,0,0,3,20,17,3,0,0,0,3,2,1,0,0,0,0,0,2,0,2,0,0,0,0,2,13,12,0,0,0,16,47,11,0,0,0,2,2,18,3,0,0,0,0,0,0,0,0,0,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.933005738200577,False,6.0,19
Alan Cantero,AM,63,0,0,0,0,2,1,0.1,0.1,1,0,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,53,9,3,5,1,1,0,0,0.0,0.0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,11,11,2,4,4,18,99,31,0,1,0,7,8,18,2,0,0,0,0,2,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8241351412366065,False,6.0,19
Siro Rosane,AM,27,0,0,0,0,1,0,0.0,0.0,2,0,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,233,37,4,6,9,9,0,0,0.0,0.0,0,0,0,0,0,15,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,12,3,0,0,0,13,126,90,1,0,0,0,0,12,1,1,0,0,1,1,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.718035667789458,False,4.0,19
Dardo Miloc,CM,63,0,0,0,0,1,0,0.1,0.1,2,0,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,230,45,5,9,8,10,0,0,0.0,0.0,2,0,0,0,2,19,19,0,0,0,0,0,0,0,4,2,2,3,1,1,1,0,3,0,0,2,8,20,5,1,0,0,4,10,1,0,1,0,1,1,8,1,0,0,0,0,0,0,0,0,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.507535462093345,False,7.0,19
Rodrigo Herrera,CM,27,0,0,0,0,1,0,0.1,0.1,1,1,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,217,30,3,4,5,6,2,3,0.0,0.0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,10,3,1,0,0,10,47,30,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.048726208691699,False,6.0,19
Iván Tapia,CM,63,0,0,0,0,1,0,0.0,0.0,2,0,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,223,57,5,8,3,4,3,5,0.1,0.1,1,0,0,0,0,19,16,3,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,6,13,5,0,0,0,9,24,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.228608526127051,False,6.0,19
Alexis Dominguez,CM,27,0,0,0,0,0,0,0.0,0.0,0,0,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,120,66,3,5,3,6,1,1,0.0,0.0,0,1,0,0,1,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,1,0,0,5,5,3,0,0,0,1,0,12,0,0,0,0,2,0,0,0,0,0,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.814323713499414,False,6.0,19
Rodrigo Insúa,WB,90,0,0,0,0,0,0,0.0,0.0,4,0,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,769,507,9,17,19,22,7,15,0.1,0.2,3,4,1,1,4,57,32,25,4,0,0,6,19,2,0,0,0,3,3,1,0,1,3,4,0,4,22,30,20,0,2,0,26,125,78,1,1,0,3,2,23,3,0,0,0,2,2,0,0,0,0,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.961222879097191,False,6.0,19
Lucas Brochero,WB,78,0,0,0,0,0,0,0.0,0.0,1,0,Barracas Central - Estudiantes,1–1,Barracas Central,1,1,False,True,419,213,7,11,11,14,3,6,0.0,0.0,1,1,1,0,2,31,20,11,0,0,0,0,11,0,1,0,0,1,1,1,0,1,1,4,0,4,10,23,10,0,3,2,11,36,13,0,1,0,2,0,12,4,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0627820648320405,False,6.0,19
